subindex,time,rssi,noise,nrx,ntx,lat,lon,node,role,pos,power,rate,size,distance
65,1900-01-01 16:41:03.239456125,,,,70.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
66,1900-01-01 16:41:03.361252995,,,,71.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
67,1900-01-01 16:41:03.483052884,,,,72.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
68,1900-01-01 16:41:04.604943754,,,,73.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
69,1900-01-01 16:41:04.726864402,,,,74.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
70,1900-01-01 16:41:04.848750624,,,,75.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
71,1900-01-01 16:41:04.970599032,,,,76.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
72,1900-01-01 16:41:04.924324210,,,,77.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
73,1900-01-01 16:41:04.214334032,,,,78.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
74,1900-01-01 16:41:04.336160717,,,,79.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
75,1900-01-01 16:41:04.458099180,,,,80.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
76,1900-01-01 16:41:05.579935550,,,,81.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
77,1900-01-01 16:41:05.701802679,,,,82.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
78,1900-01-01 16:41:05.823577272,,,,83.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
79,1900-01-01 16:41:05.945540550,,,,84.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
80,1900-01-01 16:41:05.673702350,,,,85.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
81,1900-01-01 16:41:05.189179346,,,,86.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
82,1900-01-01 16:41:05.311027420,,,,87.0,40.770278,-8.69488,1,tx,6,17,4800,32,2837.7497383134823
